Total 'indemnity' by 'year' and 'fips',,,
,,,
,year,fips,Sum of indemnity
,2016,20187,84879.7
,2016,20189,220404.7
,2016,20191,49641.92
,2016,20193,32124
,2016,20195,2130.5
,2016,20199,10104.1
,2016,20201,13513.8
,2016,20203,16732.9
,2016,31001,1961945.57
,2016,31003,256036.6
,2016,31007,457645.9
,2016,31011,328709
,2016,31013,368748.2
,2016,31015,4989
,2016,31017,25243
,2016,31019,223052.06
,2016,31021,247883.36
,2016,31023,202503.85
,2016,31027,84087
,2016,31029,37623.3
,2016,31033,55184.8
,2016,31035,675100.42
,2016,31037,395154.22
,2016,31039,28188
,2016,31041,269341.04
,2016,31043,223803
,2016,31045,31617.5
,2016,31047,24907
,2016,31051,61800.9
,2016,31053,729346.09
,2016,31057,23109.81
,2016,31059,340659.85
,2016,31061,49916.08
,2016,31063,29507.28
,2016,31065,91208
,2016,31067,177855
,2016,31069,12619
,2016,31071,26831
,2016,31073,18136.3
,2016,31077,505142.8
,2016,31079,1857734.1
,2016,31081,401260.15
,2016,31083,26269.2
,2016,31085,41923.44
,2016,31087,5303
,2016,31089,98788
,2016,31093,274177.3
,2016,31095,49565.2
,2016,31097,190427.65
,2016,31099,1183524.2
,2016,31101,192070.6
,2016,31103,4365
,2016,31105,135887.2
,2016,31107,154195
,2016,31109,24615
,2016,31111,47921.1
,2016,31113,3030
,2016,31115,93418.6
,2016,31117,20912
,2016,31119,34683.62
,2016,31121,464556.02
,2016,31123,126082.1
,2016,31125,304150.55
,2016,31127,810353.5
,2016,31129,121430
,2016,31131,11292
,2016,31133,1921
,2016,31135,150360.5
,2016,31137,989161.63
,2016,31139,104415
,2016,31141,973319.2
,2016,31143,555706.55
,2016,31145,56185
,2016,31147,158259.5
,2016,31149,71026
,2016,31151,183286.6
,2016,31155,120270.5
,2016,31157,218039
,2016,31159,577384.8
,2016,31161,41289
,2016,31163,113235.8
,2016,31165,31468.21
,2016,31169,100498
,2016,31173,193589
,2016,31175,914749.3
,2016,31177,28616
,2016,31179,220763.4
,2016,31181,61406
,2016,31183,40325
,2016,31185,298422.6
,2017,20003,2348
,2017,20005,2494
,2017,20007,688.75
,2017,20009,89738.5
,2017,20013,11945
,2017,20015,61790.5
,2017,20023,17227.6
,2017,20025,3824.5
,2017,20027,5093
,2017,20029,80121.21
,2017,20031,589
,2017,20033,23394.5
,2017,20035,67467
,2017,20037,610
,2017,20039,20963.38
,2017,20041,11602.2
,2017,20045,42.18
,2017,20047,58952.8
,2017,20051,16542.04
,2017,20053,7682.6
,2017,20055,461642.83
,2017,20057,47872.55
,2017,20063,79885.4
,2017,20065,105874.5
,2017,20067,202130.6
,2017,20069,286783
,2017,20071,68635.55
,2017,20075,107445.65
,2017,20079,122912.1
,2017,20081,38662
,2017,20083,93514.55
,2017,20085,1123
,2017,20089,33256.2
,2017,20093,107216.25
,2017,20095,901
,2017,20097,1244
,2017,20101,65457.2
,2017,20103,1686
,2017,20105,1260.5
,2017,20109,8527
,2017,20113,29217.15
,2017,20115,7731.6
,2017,20117,22516.1
,2017,20119,50337
,2017,20121,15.94
,2017,20123,17707.9
,2017,20129,189939.9
,2017,20131,17325.59
,2017,20135,13803
,2017,20137,33296
,2017,20141,14203.1
,2017,20145,90821.27
,2017,20147,9583.9
,2017,20151,18859.9
,2017,20153,11653.44
,2017,20155,35381.8
,2017,20157,46208.75
,2017,20159,39165
,2017,20161,611.5
,2017,20163,425.32
,2017,20165,69773.3
,2017,20167,5636
,2017,20169,19668.3
,2017,20171,142767.6
,2017,20173,81854.6
,2017,20175,224069
,2017,20177,855
,2017,20179,12633.65
,2017,20181,74564.7
,2017,20183,22712
,2017,20185,15886.1
,2017,20187,75842.7
,2017,20189,189592.86
,2017,20191,67291.75
,2017,20193,6391
,2017,20195,12490
,2017,20197,7200
,2017,20199,125951.5
,2017,20201,4659.9
,2017,20203,204318.77
,2017,31001,641184.57
,2017,31003,141120.4
,2017,31007,150110.5
,2017,31009,3959.4
,2017,31011,503749
,2017,31013,7928.39
,2017,31017,79697.4
,2017,31019,569329.2
,2017,31021,58344.46
,2017,31023,124492.08
,2017,31025,77873.5
,2017,31027,261658
,2017,31029,34400.75
,2017,31031,38716
,2017,31033,90839.74
,2017,31035,410445.2
,2017,31037,329675.96
,2017,31039,166933.25
,2017,31041,177873.05
,2017,31043,44769.5
,2017,31045,23298.39
,2017,31047,203521.2
,2017,31049,3267
,2017,31051,140617.5
,2017,31053,96798.56
,2017,31055,34854.05
,2017,31057,65731.27
,2017,31059,322096.69
,2017,31061,164670.75
,2017,31063,304724.8
,2017,31065,76157
,2017,31067,175879.2
,2017,31069,7744.8
,2017,31071,208.7
,2017,31073,54292
,2017,31077,307712
,2017,31079,639645.95
,2017,31081,201437.3
,2017,31083,239872.45
,2017,31085,60623.3
,2017,31087,61215
,2017,31089,442719.7
,2017,31093,546598.66
,2017,31095,218505.3
,2017,31097,86056
,2017,31099,678409.2
,2017,31101,105235
,2017,31103,17152
,2017,31105,125044.99
,2017,31107,239638.5
,2017,31109,64563.5
,2017,31111,175899.5
,2017,31113,12895
,2017,31119,85993.2
,2017,31121,190877.2
,2017,31123,57897.3
,2017,31125,168058.47
,2017,31127,141395.5
,2017,31129,35904
,2017,31131,74826.4
,2017,31133,11231.2
,2017,31135,164647.96
,2017,31137,297519.3
,2017,31139,228080
,2017,31141,521412.5
,2017,31143,81165.89
,2017,31145,186925
,2017,31147,7169.8
,2017,31151,256503.55
,2017,31153,20086.1
,2017,31155,190371.9
,2017,31157,306192.6
,2017,31159,78139.75
,2017,31161,12562.16
,2017,31163,603314.74
,2017,31165,9678
,2017,31167,141600.4
,2017,31169,174248.04
,2017,31173,22633
,2017,31175,428537
,2017,31177,65035
,2017,31179,497690.75
,2017,31181,218220.4
,2017,31183,42369
,2017,31185,490151.6
,2018,20003,138041.68
,2018,20009,5174.4
,2018,20011,2650
