Sum of Indemnity Amount,,,,,,,,,,,,
FIPS,1,2,3,4,5,6,7,8,9,10,11,12
31055,,,216638.9,140647.8,819661.46,224250,488,5232.5,,31201,18503.34,1847
31057,,7141,,16987,19653.6,27012.9,174295,1913863.1,43924.4,438665,9536,4957
31059,,,38140,29627,149149.5,188071.5,68078,28305,857,23834,5997,
31061,416,,243910,141586,261303,136279,1834695.6,66225,456911.76,39085,24716.64,3842
31063,,,73806.48,98789,197879.11,284863.6,31082,46154.41,87202,182267,1521.4,8384
31065,14924,3229,103579.17,61216,565570.75,893965.86,585175.94,81913.01,15214.8,124299.2,7131.77,3776.5
31067,,,343,221788,437385.05,443964.2,60151.8,48676.15,8023.2,37913,67678.6,4305
31069,11739,5228,22391.78,3781.78,76298.64,103609.8,388278.94,751764.28,16508,,4989.78,638
31071,,,,9190,384848,5915,,168774,26062,16954.8,33452.2,518
31073,,9446,32241,35872,273099,48182,11102,7827,,46557,75587,198
31077,,,14550,,353959.55,84857.2,190589.2,5248.8,12870.6,211461.8,76967.85,5007
31079,,,723219.7,200399.85,1816224.55,1193919.6,488141.5,4636040.8,196553,209134,339042,53009
31081,,,7981,22027,298916,74977.5,55856,181256,8037,12830,9480.5,
31083,,,140799,148198,161570,754422.04,3350909.55,39269,55406,294390,3182.41,9835
31085,21074,6629,5307,92169,268558.5,32329.02,420296,3753492.08,662998.9,422055.15,2321.55,11878.8
31087,,443,900,25444,89377.3,97132.25,100595.25,1171026.28,2076,72668.8,26899.12,1608
31089,,,122031,653463,8898970.31,1646231.43,310228,1410090.6,164875,123679,78274.66,232796
31093,,,245620,47592,812436.1,1001604.7,121734.8,696334.4,115151,355895.15,86246.85,15298
31095,,,,4560,88456,73292.5,103074,1998,1080,20592,113450,65555
31097,,,,353237,466576.55,148562.59,58846.5,12919.91,9183,76432.5,31742.95,1959
31099,11114,,110954,1684,330746.1,509812.85,431775.09,38784,223336,49069,9671.96,3535
31101,,,9520.57,32717.57,742306.56,148369.8,298377.25,637073.5,66473,59422.75,11051,10703
31103,,,165064,126132,376684,138837,,37590,,1925,9584,
31105,437,1853,29902.33,12083.4,138421.74,160006.5,61761.32,149298.23,2003,193393.5,1104.6,
31107,30198,,398489,529516,1646860,368089.54,107637,1896778.8,66970,37911,21335.66,5127
31109,,,4867,87300,537135.38,147704.77,33757.12,5330,33674.62,15789.26,29403.85,26920
31111,4939,18454.59,,29846,334205,351312.11,39074.5,212846.91,1204216.5,1026067.3,35542.09,2964
31113,,,,43903,94738,13287,142662,,,,,39807
31115,,,,2605,15918,121150,2907,2443,,,,
31117,,,,,12508,16584,,11825,,27682,,
31119,,,523651,548627.5,814403.95,544395.55,170136,21442.05,3916,48867,4194.95,5367
31121,,,735452,441425,6049316.8,1428165.22,200401.5,180043,43321,78046.72,127362.76,4983
31123,40379,6702,17258.12,558,102433.2,24102,126503,2025048.87,87390.65,,16260.16,1723
31125,,1835,328220.25,24914.25,3034961.5,358706.43,20545.8,61924,2686,105.57,9038.2,547
31127,,,866654.7,377397.84,2439543.84,1341519.52,84764.6,9748.1,53189.8,120264,26358.6,19451
31129,4373.5,,10338,28853,1504914.27,951680.66,241449.11,74021.95,27134,7738,749.51,325
31131,,,363675,114521,800724.3,840529.4,36904.1,24394,12781,6413,78322.2,385
31133,,,,379924,485802.7,286931.55,20770.25,69460.5,,14125,62860,38458
31135,418,39107,25979.25,26735.25,629918.29,210562.37,853345.2,12728218.1,1130793.78,222449,82009.36,1128
31137,,,,11087,340505.4,778623.4,1241363.24,109090,56357.5,34206.5,11211.96,
31139,1238,,567633,1356936,2526852.6,446028.8,297583.6,23365,20115,54442,32289,
31141,,,552796,145787,600743.05,194617.04,70073,,85336,55090,6660.91,4813
31143,,,354767,250957,530205.67,325367.87,65129.46,59507.6,598,37339,25680.4,799
31145,,13587,2629,17052,444013,183377,151001.5,261741.2,27867,318154.3,,34034
31147,,,274617.22,975814.89,2501123.38,770720.86,61394.4,232345.45,5747,43079,59008.8,38259
31149,125,,1978,81121,938514,420933.73,339445,121240.07,15,16627.5,5462.7,
31151,,,4507,3055,107599.25,148772.25,32051,13101,9886,2938,8975.5,14603
31153,,,243529.5,,710210.29,153136.5,17619,,,8979,11450.71,
31155,,,113694.76,76255.1,671666.27,534471.89,61244.61,26427.91,153627,32781,40007.46,32293
31157,4986,,,19407,16520,212243.6,1360400.88,3914198.06,219623.56,71921.5,25476,2447.4
31159,,,23037,76751,259482.5,239736.15,7653.35,35295,6657,9612.5,5364.5,1535
31161,,49933,38461.25,575558.85,540592.51,588340.85,1136941.85,612688.49,69523.3,277341.9,143138.6,5575.4
31163,,,273724,27444,346280,379908,149655.6,180005,135406.5,266906.25,28109.9,40175.75
31165,1063.6,,,381796,8869,406,77689,144111.4,,65285,,138
31167,,,71121.82,88604.78,327862.44,96167.82,21071.38,15093.84,13359,31842.58,25051.04,16.3
31169,,,,13249,398613.2,303163,48237,1798,4088,7938,164433.8,
31171,,,,16028,,,,,,,,
31173,,,12636,40773,61327,237176.94,1745,,41453,961,17112.06,16322
31175,,,20560,32979.75,1708117.45,627404,105551.5,390269,121037.4,194309,55758.15,27202
31177,,,485484.39,88308.39,2306633.33,447169.9,80984.1,1117,101213,4448.34,26478.55,17649
31179,,,79190.5,1256,197114.5,11791.9,151126,42889,4794,416,43227.1,1526
31181,21321.15,9828,66735,23701.75,367423.25,1897621.09,548201.76,331335.85,185260,113475,5503.15,12194
31183,,,,686356,616722,1891009,16081,,2895,9639,42427,19309
31185,,,10246,11524,68304,232506,35896.5,42979,,6388.5,3322,4807
31999,,,72298,,,,,,,,,
38001,,,38647.45,78415.85,546197.15,58485.5,210139,492161.3,3383478.97,1001010.08,142214.7,
38003,1880005,3430619.1,2975062.1,4219852.6,10318401.1,1767072.5,5620703.5,3459893.6,2097557.49,7224448.9,540193.55,335100
38005,168631,385534,5785,169594,432644,365969,1006020.58,2802355.05,2958647.48,5269398.23,168253.9,
38007,5582.4,,,28458.7,71479.8,133580,633409.8,65056.95,813986.05,197031.3,,
38009,469952.85,8650.2,6985,178207.8,377099.26,597723.82,1304179.03,3019069.95,9408886.04,4033335.88,87429.37,47411
38011,,,40688.7,40688.7,291690.6,377461,259286.05,3641827.4,1670051.5,838977.1,126975.95,
38013,,2238,,54480,143328,644921.9,456079,2660080.62,11236014.75,4560468.77,91776,2632
38015,,60437,10061.05,129003.65,438352.3,163338.5,771642,2891734.16,1260865.27,1606211.1,2730.04,
38017,1267930.4,977442.7,1300752.3,4406625.2,7003748.55,3623057.99,6385614.9,6644755.1,8876299.96,8446212.19,2896963.32,1137572.85
