FIPS,Sum of Indemnity Amount
21183,1408897
21185,225654
21187,1547267
21189,10317
21191,138656
21197,162466
21199,396882
21201,94130
21203,579
21205,82329
21207,98476
21209,229974
21211,3908590
21213,5375808
21215,1121781
21217,2014651
21219,1582573
21221,1221625
21223,317834
21225,3966407
21227,3916246
21229,1538893.1
21231,173711
21233,742529
21237,9471
21239,238611
21999,77444
22001,1859474
22003,651944
22005,22183
22007,213041
22009,8434198
22011,54952
22015,820266
22017,2233143
22019,1003458
22021,1852121
22023,801529
22025,11228832.8
22027,75068
22029,4312365.2
22031,12837
22033,13102
22035,8878978
22037,23527
22039,2268493
22041,4821641
22043,366280
22045,17124
22047,956658
22049,11839
22053,5480872
22055,333649
22059,155982
22061,46442
22065,9896437
22067,13910112
22069,4691777
22073,964909
22077,3683867.82
22079,2629111
22081,566839
22083,9589390
22091,2879
22093,133388
22095,20830
22097,4420032.5
22099,562622
22101,321310
22105,255424
22107,5227620
22111,102925
22113,3816263
22117,213665
22121,82473.5
22123,4079347
22125,662506
22999,1907
23001,111163
23003,7010054
23005,61034
23009,49076
23011,91071
23013,9422
23017,1021
23019,54094
23025,6045
23027,19466
23029,194922
23999,22786
24001,6783
24003,11142
24005,122683
24009,68742
24011,1372861.7
24013,94338
24015,268699
24017,242859
24019,1365238.33
24021,690243
24023,80995
24025,51524
24027,18343
24029,436655
24031,157583
24033,107971
24035,1150996.52
24037,665737
24039,185294
24041,1513330.2
24043,873632
24045,881041.58
24047,481303.8
25001,355856
25003,138888
25005,93625
25009,29645
25011,537285
25013,246034
25015,269745
25017,2773
25023,119880
25027,17682
25999,330905
26001,444711
26005,7296367
26007,482827
26009,1516929.1
26011,1776324
26015,4663144
26017,3818470.36
26019,275963.8
26021,9440722
26023,5755213
26025,7044867
26027,1761484
26029,86436
26031,3833
26033,22148
26035,809302
26037,12110877.7
26041,373944
26043,130686
26045,15515917.76
26049,6479929
26051,870969
26055,1673891.6
26057,7680260
26059,10478118
26063,5043238.3
26065,6022251
26067,5720095.5
26069,419448
26073,4948883
26075,2692267
26077,1244197
26079,9693
26081,5756171
26085,111998
26087,6398572
26089,3145435.9
26091,29601521
26093,2837255
26097,47207
26099,4288491
26101,229841.6
26105,942864.85
26107,904450.9
26109,2329866
26111,2038818
26113,116658
26115,17008161.89
26117,2338869.4
26119,108530
26121,2762369
26123,2786273
26125,603719
26127,3955124.9
26129,470754
26133,377228
26137,17577
26139,3979426
26141,436651.5
26145,13869159.5
26147,9817628
26149,913311
26151,12357024
26155,11215153.2
26157,9355189.4
26159,5577280.55
26161,9315929
26163,630910
26165,46179
26999,66020
27001,561915
27003,306423
27005,4887574
27007,922427
27009,8145832
27011,13056176
27013,8522953
27015,10366679
27017,4723
27019,3206328
27021,538369
27023,18668420.2
27025,2977392
27027,16596731
27029,2140106
27033,15838388
27035,550988
27037,2536761
27039,5227717
27041,2361023
27043,7346239
27045,3479683
27047,7518939.2
27049,3305652
27051,7819790
27053,1771087
27055,2395829
27057,769969
27059,2324547.5
27061,74231
27063,22491342
27065,1196429
27067,10425666
27069,8314090
27071,548476
27073,23122108
27077,1746194
27079,4668382
27081,28536025
27083,33421288
27085,7278629
27087,4996271
27089,23639182.21
27091,14065986
27093,7719654
27095,4012786
27097,5234272
27099,4782228
27101,35740396
27103,4062620
27105,39845165.76
27107,26627395.25
27109,4665489
27111,3917806.2
27113,5600766.9
27115,2404920.2
27117,19402517
27119,69751786.74
27121,4778853.15
27125,2988480
27127,15679218
27129,18959792
27131,7004070
27133,20937482
27135,6414085
27137,10081
27139,2090385
27141,986605
27143,7855028.5
27145,9222172
27147,10813250
27149,13405670.52
27151,18104405
27153,3016850
27155,20540559.3
27157,4200801
27159,469440
27161,4020110
27163,387884
27165,9776428
27167,9249736
27169,1371425
27171,6593959
27173,30430400
28001,855495
28003,513247
28005,894
28007,200146
28009,165009
28011,15644612
28013,1453095
28015,1986780
28017,1391542
28019,5152
28021,224665
28025,478769
28027,12074443
28029,136366
28031,106129
28033,1365976
28035,21251
28037,14982
28039,275900
28041,2582
28043,1134642
28045,2409
28047,17344
28049,1056963
28051,5205665
28053,15115332
28055,12005734
28057,115467
28059,37217
28063,784509
28067,147214
28071,327948
28073,146346
28077,402325
28079,45372
28081,1431092
28083,10777545
28085,4642
28087,1554980
28089,667420
28091,8056
28093,442902
28095,2457522
28097,1251335
28101,36587
28103,390601
28105,141075
28107,5187192
28109,102173
28113,17586
28115,555661
28117,269323
